Index Arrival time  CPU Burst Length   Priority
   1          14                  12     4
   2          35                  18     3
   3          39                   2     9
   4          58                   5     3
   5          71                  11     5
   6          97                  15     5
   7         125                  14     4
   8         136                  13     2
   9         151                   7     7
  10         154                   9     6
  11         156                  17     5
  12         160                   2     6
  13         163                   3     9
  14         175                   1     2
  15         179                   9     7
  16         195                  16     3
  17         202                  22     5
  18         210                   5     2
  19         235                   0     1
  20         239                  13     1
  21         259                   5     2
  22         268                   5     8
  23         270                  15     6
  24         287                   8     2
  25         300                   3     7
  26         312                   4     7
  27         314                   3     4
  28         317                  24     7
  29         326                  19     5
  30         338                   9     7
  31         341                   8     6
  32         344                   7     2
  33         356                   9     1
  34         359                   7     7
  35         417                  22     4
  36         422                  22     7
  37         424                  12     1
  38         452                   8     6
  39         473                  13     2
  40         475                  20     1
  41         494                  24     4
  42         495                  10     7
  43         496                  17     8
  44         514                  20     7
  45         523                  13     3
  46         524                   9     2
  47         537                   5     6
  48         565                   5     3
  49         578                  14     6
  50         631                  13     2
  51         641                   4     4
  52         704                   2     2
  53         715                   0     6
  54         721                  23     3
  55         723                   8     7
  56         749                  22     4
  57         759                  17     9
  58         804                  12     7
  59         830                  11     9
  60         852                   0     6
  61         859                   0     4
  62         867                  18     3
  63         873                   8     7
  64         878                  24     4
  65         891                  22     6
  66         899                  13     8
  67         914                  15     1
  68         915                   5     6
  69         917                  16     2
  70         934                  20     6
  71         974                  23     8
  72         978                  10     9
  73         990                   2     7
  74        1011                   0     5
  75        1029                   9     5
  76        1034                   3     7
  77        1074                   7     7
  78        1115                  17     8
  79        1118                  17     6
  80        1120                   6     1
  81        1138                  14     3
  82        1138                  16     8
  83        1152                  19     3
  84        1162                  12     4
  85        1206                  23     2
  86        1229                   9     9
  87        1234                  19     2
  88        1237                   4     3
  89        1265                   1     6
  90        1304                   0     8
  91        1324                   1     2
  92        1349                  10     6
  93        1365                  18     1
  94        1365                  10     6
  95        1371                   8     3
  96        1386                   0     4
  97        1397                   9     3
  98        1407                   1     8
  99        1437                   4     4
 100        1451                  14     9
 101        1465                  10     6
 102        1486                  23     5
 103        1498                  24     2
 104        1501                  24     1
 105        1504                  19     3
 106        1512                  17     7
 107        1518                  11     8
 108        1519                   9     1
 109        1527                  15     2
 110        1558                   5     2
 111        1569                   7     4
 112        1573                   3     5
 113        1584                   4     3
 114        1585                  18     2
 115        1589                   3     5
 116        1596                  11     9
 117        1599                   6     2
 118        1602                   1     5
 119        1611                  24     7
 120        1611                   5     9
 121        1639                  24     2
 122        1656                  11     4
 123        1722                   5     1
 124        1728                   0     3
 125        1729                  20     5
 126        1758                  10     8
 127        1796                   1     2
 128        1803                   8     9
 129        1810                  19     4
 130        1835                   1     6
 131        1841                  10     2
 132        1852                   9     2
 133        1872                   4     6
 134        1948                  11     3
 135        1967                   6     8
 136        1974                   7     4
 137        1984                  13     4
 138        2012                  14     8
 139        2015                  19     9
 140        2017                  23     1
 141        2038                  11     4
 142        2056                  22     4
 143        2067                  13     8
 144        2084                  18     5
 145        2114                  11     5
 146        2125                  14     4
 147        2133                   6     1
 148        2167                   9     8
 149        2173                   3     6
 150        2186                   1     4
 151        2192                   4     2
 152        2214                  10     5
 153        2282                   7     6
 154        2308                  15     4
 155        2311                  14     3
 156        2322                   3     3
 157        2334                   5     3
 158        2346                  11     5
 159        2347                  12     3
 160        2350                  16     4
 161        2357                   8     4
 162        2375                  15     2
 163        2375                   4     1
 164        2375                  14     4
 165        2384                   2     6
 166        2386                   7     5
 167        2395                   1     8
 168        2398                  15     3
 169        2407                  16     5
 170        2419                  10     9
 171        2458                  10     1
 172        2491                  19     8
 173        2509                  24     8
 174        2514                  15     5
 175        2526                  23     8
 176        2540                  10     6
 177        2542                  16     8
 178        2548                  19     6
 179        2558                  22     1
 180        2595                   8     3
 181        2596                   3     9
 182        2613                  10     7
 183        2637                   9     4
 184        2642                  13     3
 185        2664                  24     4
 186        2668                  19     8
 187        2672                   3     9
 188        2678                   6     1
 189        2681                  22     8
 190        2681                   3     2
 191        2686                  21     2
 192        2687                  24     9
 193        2700                  21     2
 194        2722                   6     8
 195        2728                  15     6
 196        2732                  18     3
 197        2744                  24     1
 198        2757                  13     8
 199        2769                  20     5
 200        2776                  14     7
 201        2802                   2     9
 202        2822                  20     1
 203        2835                  20     1
 204        2837                   6     8
 205        2842                   2     1
 206        2876                  13     9
 207        2890                  20     8
 208        2907                  21     8
 209        2933                  13     5
 210        2940                  21     6
 211        2974                   7     7
 212        3037                   1     3
 213        3060                  10     5
 214        3065                  17     7
 215        3068                  13     2
 216        3102                  15     1
 217        3191                  22     5
 218        3196                   9     3
 219        3198                  24     3
 220        3201                  24     1
 221        3219                   8     9
 222        3238                   6     6
 223        3245                   1     3
 224        3252                  17     1
 225        3258                  14     5
 226        3270                   1     7
 227        3278                   9     7
 228        3279                  14     6
 229        3282                  16     7
 230        3282                  17     6
 231        3290                  15     3
 232        3291                  19     2
 233        3314                   6     1
 234        3335                  20     7
 235        3341                  11     9
 236        3343                  15     7
 237        3369                  12     9
 238        3381                  21     3
 239        3396                   5     6
 240        3397                   6     9
 241        3402                   3     8
 242        3448                   1     3
 243        3452                  17     2
 244        3454                   6     9
 245        3455                   2     4
 246        3456                  24     9
 247        3477                  18     7
 248        3482                   2     9
 249        3484                  14     6
 250        3499                   4     2
 251        3515                   9     3
 252        3519                  12     4
 253        3526                  16     6
 254        3559                  20     5
 255        3576                   0     8
 256        3593                   1     6
 257        3612                   6     9
 258        3618                  15     8
 259        3666                  14     3
 260        3666                  22     9
 261        3666                  11     8
 262        3672                   7     2
 263        3733                  12     2
 264        3737                  19     7
 265        3769                   1     3
 266        3770                  19     7
 267        3771                   6     1
 268        3789                   7     8
 269        3805                  16     7
 270        3816                   0     3
 271        3855                  14     3
 272        3855                   2     7
 273        3919                   7     5
 274        3919                  14     6
 275        3935                  15     5
 276        3940                  19     7
 277        3972                  16     4
 278        3983                   7     3
 279        3996                   3     2
 280        4004                  14     3
 281        4022                   1     5
 282        4066                   9     1
 283        4080                  19     7
 284        4087                  15     3
 285        4089                   0     6
 286        4104                   1     8
 287        4128                   5     4
 288        4137                   1     2
 289        4149                  15     3
 290        4162                  21     3
 291        4169                  14     7
 292        4190                  10     8
 293        4202                  13     8
 294        4212                  21     5
 295        4258                  12     7
 296        4272                  23     9
 297        4301                  10     9
 298        4325                  11     1
 299        4338                  11     5
 300        4347                   7     8
 301        4374                   3     2
 302        4391                   8     9
 303        4397                  10     5
 304        4401                  10     1
 305        4406                  20     2
 306        4411                  14     4
 307        4422                   1     8
 308        4427                   4     3
 309        4435                  12     6
 310        4439                  15     8
 311        4444                   8     1
 312        4455                  10     3
 313        4456                  21     4
 314        4460                  12     9
 315        4461                  23     9
 316        4469                   1     8
 317        4483                  17     5
 318        4527                   1     6
 319        4535                  24     5
 320        4542                  22     9
 321        4544                   3     4
 322        4568                  22     4
 323        4578                  16     9
 324        4580                   3     1
 325        4597                  23     3
 326        4613                  20     9
 327        4658                  15     4
 328        4662                  10     1
 329        4681                   4     5
 330        4699                  22     4
 331        4724                  16     3
 332        4743                  22     5
 333        4747                   2     2
 334        4751                  20     8
 335        4755                   9     4
 336        4775                  21     5
 337        4782                  23     8
 338        4783                  13     3
 339        4866                   6     1
 340        4915                   4     1
 341        4920                  14     3
 342        4922                  10     9
 343        4933                   3     7
 344        4942                  14     6
 345        4944                  24     1
 346        4987                  12     4
 347        5003                   6     2
 348        5006                  17     1
 349        5019                   7     8
 350        5037                   5     2
 351        5042                  18     7
 352        5046                   0     5
 353        5047                  23     6
 354        5063                  21     1
 355        5064                  12     4
 356        5071                   5     5
 357        5076                   3     3
 358        5088                  21     8
 359        5099                  19     1
 360        5115                   3     4
 361        5137                  16     6
 362        5152                   1     9
 363        5165                   4     6
 364        5191                  19     4
 365        5200                   0     6
 366        5202                  23     3
 367        5202                   7     3
 368        5232                   3     6
 369        5237                   8     2
 370        5241                   9     4
 371        5246                  21     6
 372        5288                  18     7
 373        5292                   7     2
 374        5309                  12     7
 375        5315                  23     1
 376        5330                   0     4
 377        5344                   5     9
 378        5372                  13     9
 379        5400                  19     5
 380        5416                   8     1
 381        5424                  16     4
 382        5434                   8     9
 383        5446                  18     8
 384        5468                  10     7
 385        5472                  19     4
 386        5474                   5     8
 387        5516                  11     3
 388        5519                  15     1
 389        5540                  13     6
 390        5571                   0     6
 391        5583                   1     5
 392        5597                  15     8
 393        5607                   1     9
 394        5607                   7     1
 395        5631                  12     5
 396        5640                   3     3
 397        5683                  24     5
 398        5731                   7     9
 399        5744                   3     7
 400        5776                  12     4
 401        5787                  24     4
 402        5802                   0     2
 403        5817                  21     2
 404        5827                  10     4
 405        5831                  23     3
 406        5858                  13     3
 407        5864                  11     4
 408        5871                  22     6
 409        5891                   6     7
 410        5892                   9     8
 411        5897                   4     1
 412        5960                  20     6
 413        5968                   1     9
 414        5977                  13     3
 415        5991                  18     3
 416        6000                   3     4
 417        6019                   3     7
 418        6030                   6     5
 419        6040                   7     3
 420        6061                   8     9
 421        6062                  14     8
